platform,post_type,post_length,views,likes,comments,shares,engagement_rate
Instagram,Video,48,87151,4236,483,561,0.060584502759578204
Facebook,Video,62,231197,3739,734,343,0.02083072012180089
Instagram,Video,108,187966,16568,1659,1525,0.10508283412957663
Facebook,Video,71,27225,2146,310,132,0.09505968778696051
Facebook,Image,17,154918,12574,2493,1303,0.10566880543255142
Instagram,Image,23,34152,2630,235,273,0.09188334504567815
Instagram,Text,102,71107,2475,185,110,0.03895537710773904
Facebook,Text,100,184426,16099,2124,1738,0.10823311246787329
Twitter,Text,53,126387,1289,171,70,0.012105675425478886
Instagram,Text,84,162260,5087,957,557,0.0406816220880069
Twitter,Image,104,62910,892,48,88,0.01634080432363694
Twitter,Image,86,44530,888,98,100,0.02438805299797889
Twitter,Image,82,80753,4676,452,105,0.0648025460354414
Instagram,Video,34,46999,627,85,22,0.015617353560714057
Twitter,Video,70,8609,226,11,29,0.03089789754907655
Instagram,Text,81,194841,6029,944,418,0.03793349449037933
Twitter,Video,95,180469,12448,1527,1602,0.08631399298494478
Facebook,Image,63,244649,12769,1980,359,0.061753777861344214
Facebook,Text,57,52322,2681,314,321,0.06337678223309506
Instagram,Text,56,272295,21554,2610,665,0.09118419361354413
Facebook,Video,85,9406,480,88,38,0.06442696151392728
Facebook,Text,35,65678,2716,221,385,0.05058010292639849
Twitter,Video,19,49062,4740,391,142,0.10747625453507806
Instagram,Video,24,216501,2326,311,152,0.012882157588186659
Twitter,Text,9,166028,6223,927,543,0.04633555785771075
Twitter,Video,11,113377,7351,758,1006,0.0803954946770509
Twitter,Video,22,55830,4491,574,284,0.09580870499731327
Twitter,Video,60,15133,1263,106,157,0.10083922553360206
Twitter,Video,79,14209,201,14,22,0.016679569287071573
Twitter,Text,100,111828,8255,707,494,0.08455842901598884
Twitter,Image,118,76681,5737,1075,368,0.0936346683011437
Instagram,Image,95,248733,7279,1239,326,0.03555619881559745
Facebook,Video,94,57345,1155,82,127,0.023785857528991195
Twitter,Video,105,44585,3454,196,321,0.08906582931479197
Twitter,Video,49,36638,1189,76,47,0.035809814946230686
Twitter,Image,32,22645,229,21,23,0.01205564142194745
Twitter,Video,54,20408,614,105,52,0.037779302234417875
Twitter,Text,6,14521,185,18,5,0.01432408236347359
Twitter,Text,88,89414,2899,225,417,0.039602299416198805
Facebook,Text,72,131432,5277,577,678,0.04969870351208229
Facebook,Image,81,126520,4355,298,127,0.03778058804932027
Twitter,Video,28,40221,3732,449,526,0.11702841799060193
Facebook,Video,116,103131,3189,482,443,0.03989101240170269
Instagram,Video,106,157158,8184,861,208,0.058877053665737665
Twitter,Image,108,18923,1819,138,84,0.10785816202504889
Instagram,Image,52,86761,7732,912,860,0.1095423058747594
Instagram,Image,49,274346,10379,1706,1468,0.0494011212119003
Twitter,Image,97,97675,3846,236,488,0.046787816739186076
Facebook,Text,62,231582,14682,890,831,0.07083020269278269
Instagram,Image,40,173278,16046,1567,390,0.10389662853911057
Twitter,Image,6,152957,1667,187,135,0.013003654621887198
Instagram,Image,109,115443,5238,431,167,0.05055308680474346
Instagram,Video,22,16218,1402,75,72,0.09551116043901837
Instagram,Video,53,188761,8860,734,914,0.05566827893473758
Instagram,Video,12,102148,7641,881,644,0.08973254493480048
Facebook,Text,62,9716,702,43,48,0.08161794977356937
Instagram,Text,19,261448,7448,1172,1049,0.03698249747559744
Instagram,Image,109,283232,14292,1898,644,0.059435374533950966
Instagram,Video,21,36001,2194,252,182,0.07299797227854782
Facebook,Text,27,239194,17794,2274,1682,0.09093037450772176
Instagram,Video,70,271430,22804,3383,1410,0.1016726227756696
Instagram,Text,74,140811,11038,2198,1232,0.10274765465766168
Facebook,Text,97,33158,416,69,55,0.016285662585198143
Facebook,Image,31,103393,7274,953,657,0.08592457903339684
Facebook,Image,41,8605,471,77,57,0.07030796048808832
Instagram,Text,53,61492,3790,459,105,0.0708059584986665
Facebook,Image,68,239198,10421,1007,416,0.049515464176121876
Facebook,Text,38,6321,469,41,37,0.08653694035753837
Instagram,Text,22,180613,12760,1402,1782,0.08827714505600372
Facebook,Video,68,185773,11546,581,1028,0.07081222782643333
Instagram,Image,110,235592,20624,1578,1571,0.10090750110360285
Twitter,Image,78,14170,271,18,26,0.022230063514467185
Facebook,Image,106,59045,2190,424,79,0.04560928105682107
Twitter,Video,48,142005,7748,462,813,0.0635400161966128
Instagram,Video,21,224300,21594,2702,695,0.11141774409273295
Facebook,Video,63,231082,3807,715,361,0.021131027081295817
Instagram,Image,17,257985,10406,1468,1174,0.05057658390991724
Twitter,Image,56,112540,10503,1305,771,0.11177359161187134
Instagram,Image,64,159886,14520,2344,2009,0.11804035375204834
Facebook,Video,116,104101,9147,942,363,0.10040249373204868
Facebook,Video,46,3818,144,11,6,0.04216867469879518
Twitter,Text,95,10434,899,159,78,0.1088748322790876
Instagram,Video,68,192225,10664,623,1504,0.06654181297958121
Facebook,Text,70,33571,2208,377,156,0.08164785082362754
Twitter,Image,38,42694,1344,88,188,0.037944441841945
Facebook,Video,99,97426,7170,1031,789,0.09227516268757827
Facebook,Image,91,121792,4809,584,585,0.04908368365738308
Instagram,Image,75,50485,2067,412,293,0.05490739823710013
Facebook,Image,106,146141,9837,1064,928,0.08094237756687035
Instagram,Image,68,62198,1964,380,203,0.04094986977073218
Facebook,Video,37,101316,3059,338,291,0.03640096332267362
Twitter,Image,16,171734,7423,1130,905,0.05507354396916161
Facebook,Text,113,91970,7359,1078,408,0.09617266499945634
Instagram,Video,80,77928,2355,148,288,0.035815111384868085
Instagram,Image,23,57290,4632,748,522,0.10301972421015884
Twitter,Video,13,124664,9051,735,889,0.08563017390746326
Facebook,Text,78,146004,10383,1124,260,0.08059368236486672
Facebook,Image,21,14766,778,130,93,0.06779087091968035
Twitter,Text,54,90247,6960,1333,259,0.09476215275854045
Facebook,Image,108,16292,182,24,26,0.014240117849251166
Facebook,Text,43,220295,8262,1056,252,0.043441748564424974
Instagram,Image,45,183703,13065,1642,1484,0.08813682955640355
Facebook,Video,14,225507,22292,3845,1490,0.12251060942675837
Facebook,Image,16,249762,2554,508,295,0.013440795637446849
Twitter,Video,83,74944,4189,607,366,0.06887809564474807
Twitter,Image,99,108446,10101,1078,1028,0.11256293454807001
Instagram,Image,19,39533,3467,287,103,0.09756406040523108
Facebook,Text,32,83773,1012,80,147,0.01478996812815585
Facebook,Text,8,127433,7347,1310,150,0.06911082686588246
Facebook,Text,40,139850,1452,288,206,0.013914908830890239
Instagram,Image,69,40059,3247,502,304,0.10117576574552535
Instagram,Image,112,140938,5327,1030,285,0.0471271055357675
Twitter,Image,102,75965,5993,614,616,0.09508326202856579
Instagram,Video,51,65661,6239,899,670,0.1189138148977323
Facebook,Video,85,46352,4535,574,521,0.12146185709354505
Facebook,Image,43,113051,10227,1250,226,0.10351965042326029
Instagram,Text,42,186808,5300,767,783,0.03666866515352662
Facebook,Text,48,37075,1020,98,102,0.03290627107215104
Facebook,Text,55,234461,15549,2271,1074,0.08058483073944067
Instagram,Image,101,96931,5715,862,538,0.07340272977685157
Instagram,Text,89,218023,2367,415,102,0.013227962187475633
Facebook,Image,30,231594,10480,1672,546,0.05482870886119675
Facebook,Video,114,27104,2482,243,77,0.10337957497048406
Facebook,Text,40,68827,6253,735,839,0.1137199064320688
Twitter,Video,73,71222,2019,137,106,0.03175984948470978
Twitter,Text,101,134714,5978,529,694,0.05345398399572428
Twitter,Image,5,99013,5983,766,332,0.07151586155353337
Instagram,Image,57,225758,19584,1275,763,0.09577512203332772
Twitter,Image,10,10769,623,84,21,0.06760144860247005
Instagram,Image,41,100369,9749,1058,1285,0.12047544560571491
Instagram,Text,6,55375,4536,250,161,0.08933634311512416
Twitter,Video,73,165150,15817,1821,495,0.10979715410233122
Twitter,Image,94,14268,1082,99,22,0.08431455004205214
Twitter,Text,45,143916,12806,768,866,0.10033630729036383
Facebook,Video,55,77174,6543,615,932,0.10482805089797081
Twitter,Image,51,193835,6366,599,879,0.04046740784688008
Facebook,Video,17,105677,3239,334,113,0.03487986979191309
Instagram,Image,80,147305,12932,1357,279,0.09889684667865992
Facebook,Video,73,33496,590,67,69,0.021674229758777166
Twitter,Video,70,150878,7056,450,422,0.05254576545288246
Instagram,Image,63,176398,14792,751,1900,0.09888434109230264
Instagram,Text,72,83807,6972,1118,334,0.10051666328588305
Instagram,Video,63,175585,3948,397,331,0.026630976450152347
Facebook,Image,95,185833,10015,1422,243,0.06285213067646758
Twitter,Video,118,21465,1141,109,155,0.06545539249941766
Instagram,Video,14,144322,5648,1116,243,0.048551156441845315
Instagram,Text,17,65503,6062,589,353,0.1069264003175427
Instagram,Video,112,243026,16715,2352,1376,0.0841185716754586
Facebook,Video,6,248863,24442,2028,1350,0.11178841370553276
Facebook,Image,94,24310,389,49,9,0.018387494858083095
Twitter,Image,19,132301,6018,823,143,0.05278871663857416
Facebook,Text,50,249501,21248,1645,3063,0.10403164716774682
Instagram,Video,61,37206,1787,122,111,0.054292318443261836
Twitter,Video,14,11764,394,77,25,0.04216252975178511
Instagram,Video,26,191668,19128,3519,2677,0.1321242982657512
Instagram,Text,108,245269,21726,3237,2796,0.1131777762375188
Facebook,Video,93,146914,8694,1557,950,0.07624188300638468
Twitter,Image,83,136048,8238,529,869,0.07082794307891332
Facebook,Text,81,141498,1502,239,186,0.013618567046884055
Facebook,Image,12,156959,15427,1432,647,0.11153231098567142
Twitter,Image,25,28710,2370,310,252,0.1021246952281435
Instagram,Text,89,142558,1896,312,62,0.015923343481249738
Instagram,Image,26,175330,4535,249,165,0.02822677237209833
Twitter,Video,114,114418,9598,1480,494,0.10113793284273453
Instagram,Text,101,252704,4502,518,505,0.021863524123084715
Twitter,Image,49,24623,2333,270,317,0.11858831174105511
Twitter,Video,95,25806,2580,480,283,0.1295435170115477
Facebook,Video,44,140045,12573,2250,932,0.11249955371487737
Twitter,Image,118,179287,13715,804,1190,0.08761929197320498
Facebook,Video,26,117162,6309,900,710,0.06759017428859186
Instagram,Text,34,165229,2878,332,287,0.02116456554236847
Instagram,Image,66,10521,796,53,70,0.08734911130120711
Instagram,Video,77,280035,12802,2274,650,0.056157266056028714
Instagram,Video,49,87331,5355,325,536,0.07117747420732615
Facebook,Image,39,25474,927,50,20,0.03913794457093507
Instagram,Image,86,162579,5169,411,479,0.03726803584718814
Twitter,Image,46,12687,497,47,62,0.04776542917947505
Twitter,Image,9,100550,8370,494,362,0.09175534559920438
Twitter,Text,31,144081,6971,1019,242,0.057134528494388576
Facebook,Image,74,91762,3491,403,510,0.04799372289182886
Instagram,Text,66,93484,4577,511,593,0.06076975739163921
Instagram,Text,36,53296,687,49,40,0.014560192134494146
Instagram,Image,12,45225,4077,471,192,0.10480928689883914
Facebook,Text,107,221710,13226,1435,838,0.06990663479319832
Twitter,Image,89,36828,715,76,54,0.022944498750950365
Twitter,Image,22,169174,6082,503,770,0.04347594784068474
Instagram,Video,82,247463,24379,1564,1245,0.10986692960159701
Twitter,Image,19,189414,12004,1069,1364,0.07621928685313652
Twitter,Video,110,35712,1293,194,182,0.04673499103942652
Facebook,Text,30,29823,1442,87,99,0.05458874023404755
Facebook,Video,57,139433,4637,497,108,0.037595117368198344
Facebook,Text,48,94374,1213,154,154,0.016116727064657638
Facebook,Image,36,83174,7134,1387,799,0.11205424772164378
Instagram,Text,107,290409,10548,1862,415,0.044161854487980746
Facebook,Text,32,93287,7972,1494,778,0.10981165650090581
Twitter,Image,43,44012,2335,403,297,0.06895846587294374
Instagram,Text,111,278060,7357,1017,320,0.03126663310076962
Twitter,Image,36,127462,10473,1875,512,0.10089281511352403
Twitter,Video,81,77045,3385,456,156,0.051878772146148354
Twitter,Image,83,178604,13162,1364,1970,0.0923607533985801
Facebook,Image,22,230710,19691,2084,981,0.09863464956005374
Facebook,Text,107,181731,17567,2368,960,0.11497763177443585
Instagram,Video,74,94860,1681,288,44,0.021220746363061354
Instagram,Image,15,229551,2468,172,364,0.013086416526175012
Facebook,Video,36,45634,2708,151,141,0.06574045667703905
Twitter,Video,108,97479,3293,554,376,0.043322151437745565
Instagram,Text,24,79992,4177,614,97,0.0611061106110611
Facebook,Image,101,14369,237,41,28,0.021295845222353678
Facebook,Text,44,22329,1231,241,144,0.07237225133234806
Facebook,Image,12,212826,4519,396,139,0.02374709856878389
Twitter,Video,119,88700,7581,599,272,0.09528748590755355
Facebook,Image,39,105960,8302,839,484,0.09083616459041148
Facebook,Image,73,15410,256,46,16,0.02063595068137573
Facebook,Video,103,163802,13967,727,1701,0.10009035298714301
Facebook,Video,115,136737,5366,276,150,0.0423586885773419
Instagram,Image,82,173775,7256,598,758,0.04955833692993814
Instagram,Text,25,235083,6155,654,305,0.03026165226749701
Facebook,Image,115,158244,13478,1285,939,0.09922651095776143
Twitter,Video,28,4684,217,37,4,0.055081127241673786
Instagram,Text,21,287031,4131,633,238,0.01742668910326759
Facebook,Video,22,154898,15019,2638,634,0.11808415860759984
Instagram,Video,102,198360,6551,704,560,0.03939806412583182
Instagram,Text,16,205579,19377,2700,786,0.11121272114369658
Twitter,Video,20,129510,4806,611,618,0.046598718245695316
Facebook,Video,8,104261,8844,1071,1191,0.10652113446063245
Facebook,Video,93,59068,4121,384,535,0.08532538768876549
Twitter,Video,38,20113,1760,275,259,0.11405558593944215
Twitter,Video,96,44861,4389,564,609,0.12398296961726221
Facebook,Video,50,81487,7206,445,406,0.09887466712481746
Facebook,Video,79,28617,1325,66,80,0.0514030121955481
Twitter,Video,81,100330,8358,443,745,0.09514601814013754
Instagram,Video,35,227236,16826,1032,1178,0.08377193754510728
Instagram,Image,29,293394,4560,481,666,0.01945165886146274
Twitter,Image,107,5055,473,45,30,0.10840751730959446
Instagram,Video,78,132615,6887,506,800,0.06178034159031784
Twitter,Image,28,104255,2304,293,218,0.02700110306460122
Instagram,Text,69,241675,11669,2281,1684,0.06469018309713458
Instagram,Image,29,94376,6066,449,708,0.07653428837840129
Facebook,Video,32,12933,796,69,47,0.07051728137323127
Facebook,Video,40,34979,2159,257,98,0.07187169444523857
Instagram,Image,86,50047,1652,241,216,0.04214038803524687
Instagram,Video,10,9137,611,85,84,0.08536718835503995
Facebook,Text,70,14423,1322,169,169,0.11509394716771823
Facebook,Text,71,92851,4176,670,483,0.05739302753874487
Facebook,Video,114,37482,2502,442,154,0.08265300677658609
Twitter,Text,76,177228,5663,1131,485,0.04107138826821947
Instagram,Text,99,237723,3410,408,474,0.018054626603231493
Facebook,Image,52,37754,2367,471,88,0.07750172167187583
Instagram,Text,87,28363,405,64,34,0.01773437224553115
Twitter,Image,118,19085,1433,212,94,0.09111867959130207
Twitter,Video,74,58889,4141,604,447,0.08816587138514834
Facebook,Image,82,242022,10464,1952,1071,0.05572633892786606
Twitter,Video,71,104090,4893,940,454,0.06039965414545105
Instagram,Video,52,84951,7866,603,443,0.10490753493190191
Facebook,Video,69,131227,1467,181,59,0.013007993781767471
Instagram,Video,48,122159,7414,1417,904,0.07969122209579318
Instagram,Video,98,183124,17049,1829,2539,0.11695353967803238
Twitter,Image,67,88934,8204,696,344,0.10394224930847595
Twitter,Video,50,34691,2172,142,64,0.06854803839612579
Twitter,Text,23,56697,2512,350,293,0.055646683246027125
Twitter,Text,68,136116,2572,398,166,0.023039172470539833
Twitter,Video,87,5883,150,11,7,0.02855685874553799
Facebook,Text,77,34712,2470,373,218,0.08818276100483982
Instagram,Image,75,220932,2540,469,273,0.014855249579055999
Instagram,Image,114,118655,10621,919,509,0.10154650035818129
Instagram,Video,105,288689,18162,1240,2711,0.07659799992379343
Instagram,Video,54,285348,4012,703,251,0.01740331104475938
Twitter,Video,67,25268,797,149,48,0.03933829349374703
Instagram,Text,45,253562,16095,1323,1206,0.07344949164306955
Facebook,Text,11,227979,3010,476,351,0.01683049754582659
Facebook,Image,13,87383,7008,971,935,0.10201068857786984
Instagram,Text,8,257982,23938,2055,1486,0.10651518322983775
Instagram,Image,93,242903,23442,4068,830,0.11667208721176767
Facebook,Text,53,209724,15945,1922,849,0.08924109782380653
Facebook,Image,80,229733,20013,3103,619,0.10331558809574592
Twitter,Video,10,121755,7909,753,806,0.07776272021682888
Facebook,Text,86,99940,5123,883,595,0.06604962977786671
Twitter,Image,108,30436,2257,202,171,0.08641082928111447
Twitter,Text,25,137197,4140,433,595,0.03766846213838495
Twitter,Video,19,174606,3471,377,397,0.024311879316861962
Twitter,Image,71,100524,7897,639,547,0.09035653177350682
Twitter,Text,70,88842,8549,1548,284,0.11684788726052993
Instagram,Text,60,81369,5042,337,424,0.07131708635967014
Facebook,Video,109,90533,4837,650,413,0.06516960666276385
Twitter,Video,108,35521,2063,355,188,0.07336505165958165
Facebook,Image,72,229556,12180,1670,1324,0.06610151771245361
Facebook,Text,36,246251,12262,1214,666,0.05742920840930595
Twitter,Text,70,140560,13385,2238,272,0.11308338076266364
Instagram,Video,114,47448,2523,315,317,0.06649384589445287
Twitter,Video,33,9938,171,12,21,0.020527269068222984
Instagram,Image,70,187185,14768,1440,2045,0.09751315543446323
Facebook,Text,38,107262,4852,673,708,0.05811004829296489
Instagram,Text,31,188707,13957,2077,567,0.08797235926595198
Instagram,Image,64,208243,12944,1711,854,0.07447549257357991
Instagram,Image,43,210237,15596,1416,2038,0.09061202357339573
Facebook,Video,48,191894,2989,415,422,0.01993809082097408
Facebook,Video,106,52934,690,68,15,0.014603090641175804
Instagram,Image,86,288631,12719,1065,895,0.050857323017971044
Instagram,Image,40,189391,13709,2629,476,0.0887792978547027
Twitter,Text,23,14869,448,43,54,0.03665344004304257
Instagram,Image,95,250979,12299,1234,1440,0.05965837779256432
Twitter,Image,49,173869,17086,3152,2017,0.12799866566207893
Instagram,Text,88,192370,5643,402,399,0.03349794666528045
Twitter,Image,25,116576,10062,1385,732,0.10447261872083448
Facebook,Video,27,85209,7182,1203,388,0.10295860765881538
Instagram,Video,98,87299,7876,717,527,0.1044685506134091
Instagram,Text,93,49933,4611,814,681,0.12228386037289969
Instagram,Image,99,81579,4540,751,118,0.06630382819107859
Instagram,Video,31,145642,10395,1277,645,0.08457038491643894
Twitter,Video,102,139958,9195,623,1128,0.07820917703882593
Instagram,Video,76,95177,3598,703,250,0.04781617407566954
Facebook,Video,23,70719,2487,357,356,0.045249508618617346
Facebook,Image,45,97606,3976,507,251,0.04850111673462697
Instagram,Image,30,34018,1009,184,131,0.03892057146216709
Facebook,Image,32,88839,6944,786,874,0.09684935670144869
Instagram,Image,68,158658,15359,2066,325,0.11187585876539474
Instagram,Video,72,7566,666,119,48,0.11009780597409463
Facebook,Text,99,242471,7180,782,405,0.03450721942005436
Instagram,Text,84,81489,1195,198,98,0.01829694805433862
Facebook,Video,55,68355,5341,472,428,0.09130275766220466
Twitter,Video,78,164768,7434,1154,1023,0.058330501068168575
Instagram,Text,106,77940,6563,830,287,0.09853733641262509
Twitter,Text,52,128731,10315,770,450,0.08960545633918791
Facebook,Video,14,101382,6720,473,228,0.07319839813773649
Twitter,Video,113,173807,5732,680,665,0.04071757754290679
Twitter,Image,77,125865,2437,381,339,0.025082429587256188
Facebook,Image,43,184709,6047,849,410,0.03955410943700632
Twitter,Text,104,24129,1348,240,37,0.06734634671971487
Twitter,Video,119,32845,3223,349,129,0.11268077332927386
Facebook,Text,104,82449,1297,228,43,0.019017817074797754
Twitter,Image,23,199572,5589,310,542,0.03227406650231495
Facebook,Image,68,13739,913,95,51,0.07707984569473761
Twitter,Text,23,191244,7151,435,977,0.044775260923218506
Facebook,Image,80,136745,11933,2242,490,0.10724340926542104
Facebook,Video,66,237669,5358,649,755,0.02845133357737021
Twitter,Text,17,33171,3207,312,202,0.11217629857405566
Twitter,Video,29,91179,8398,1040,1114,0.11572840237335351
Twitter,Video,104,102022,9169,1191,1314,0.11442630020975868
Instagram,Image,93,146696,3751,663,556,0.033879587718819874
Instagram,Video,96,113906,4516,593,562,0.04978666619844433
Instagram,Text,46,57930,4771,547,158,0.09452787847402037
Facebook,Video,43,168680,13950,2709,379,0.10100782546834243
Twitter,Video,34,51649,3794,740,440,0.09630389746171271
Facebook,Video,9,216528,10896,607,1488,0.059996859528559814
Instagram,Video,85,68503,2606,406,108,0.04554545056420887
Twitter,Video,22,175196,16935,1791,2410,0.1206420237904975
Facebook,Image,111,119659,2696,407,267,0.028163364226677475
Twitter,Text,115,98875,1378,200,49,0.0164551201011378
Facebook,Image,25,141659,1532,152,63,0.012332432108090555
Twitter,Text,90,136599,10894,2156,311,0.09781184342491527
Instagram,Text,107,169139,2554,264,98,0.01724025801264049
Instagram,Text,54,56538,3306,478,380,0.0736495808129046
Twitter,Text,10,39455,1698,292,82,0.05251552401470029
Facebook,Text,54,236547,5493,394,510,0.02704325144685834
Instagram,Video,84,25243,1934,183,219,0.09254050627896843
Instagram,Image,70,128793,1925,153,262,0.018168689292119913
Instagram,Image,119,74231,2869,479,277,0.04883404507550754
Twitter,Video,5,76648,4644,790,436,0.07658386389729674
Twitter,Text,61,34059,1574,139,218,0.05669573387357233
Facebook,Image,34,192939,6429,325,375,0.03694950217426233
Facebook,Video,62,75778,7073,802,328,0.10825041568793053
Facebook,Video,111,78477,7360,1126,982,0.12064681371612064
Twitter,Image,56,57283,2717,389,80,0.05561859539479427
Twitter,Image,41,65853,2992,349,133,0.05275386087194205
Facebook,Text,52,23001,866,82,63,0.04395461066910134
Facebook,Text,91,5700,496,60,33,0.10333333333333333
Twitter,Image,5,183229,11197,585,1251,0.07112957010080281
Facebook,Text,23,152157,2747,167,87,0.019723049218898902
Instagram,Video,50,194219,16857,1254,1382,0.1003660815883101
Twitter,Text,71,15339,891,128,111,0.07366842688571615
Facebook,Text,6,149906,7106,588,773,0.056482062092244475
Twitter,Video,60,128378,5187,588,529,0.04910498683575067
Instagram,Text,105,296687,5621,804,287,0.02262316852440451
Twitter,Video,21,37930,3645,636,259,0.11969417347745848
Twitter,Text,96,174146,13359,1769,581,0.09020591917127008
Twitter,Image,86,193745,4235,324,364,0.02540968799194818
Twitter,Text,101,31044,1738,335,166,0.07212343770132715
Instagram,Image,83,198833,11930,757,1217,0.0699280300553731
Twitter,Image,26,114997,2887,303,386,0.031096463386001374
Twitter,Image,109,85725,4153,781,116,0.05890930300379119
Facebook,Image,31,222405,15149,2126,1067,0.08247116746476023
Twitter,Image,59,28012,996,148,96,0.04426674282450378
Facebook,Video,105,197768,7880,750,741,0.04738380324420533
Instagram,Video,36,102585,2152,132,49,0.022742116293805136
Instagram,Video,64,26694,1259,132,56,0.05420693788866412
Instagram,Image,113,180460,11287,1245,1466,0.07756843621855258
Instagram,Text,87,218440,4475,405,389,0.024121040102545323
Facebook,Video,32,35835,2341,192,172,0.07548486116924794
Twitter,Text,32,120777,5531,571,757,0.05679061410699057
Instagram,Text,78,203470,14453,2108,429,0.08350125325600825
Twitter,Image,88,20186,773,148,108,0.050975923907658774
Facebook,Image,29,163617,10007,1556,236,0.07211353343478978
Facebook,Image,89,245130,15970,2666,1487,0.0820911353159548
Facebook,Video,82,47391,3419,327,315,0.08569137599966238
Instagram,Image,90,110858,8660,568,892,0.09128795395911887
Twitter,Video,30,106199,2365,221,56,0.02487782370832117
Twitter,Video,112,178860,17326,1912,1541,0.11617466174661746
Twitter,Video,79,30401,2612,400,90,0.10203611723298575
Facebook,Video,75,100764,6107,1165,245,0.07460005557540392
Instagram,Image,21,63611,5733,982,275,0.10988665482385122
Facebook,Video,86,15202,675,60,67,0.05275621628733061
Facebook,Image,11,197440,2583,446,182,0.016263168557536466
Twitter,Image,60,35135,2650,296,82,0.08618186993026897
Facebook,Video,68,91121,8647,659,497,0.10758222583158657
Twitter,Image,24,115944,2848,339,85,0.02822052025115573
Instagram,Text,42,261556,17772,2390,1889,0.08430699353102204
Twitter,Image,79,115765,9632,1584,890,0.10457392130609425
Instagram,Image,112,68535,6267,642,457,0.10747793098416868
Twitter,Video,62,147969,5162,371,725,0.04229264237779535
Facebook,Video,20,120328,2597,166,227,0.02484874675885912
Facebook,Image,55,155363,5019,335,679,0.038831639450834496
Instagram,Video,31,190165,11789,2269,1123,0.07983067336260616
Instagram,Text,55,118056,10942,2109,754,0.11693603035847394
Instagram,Text,79,282619,17643,3445,1589,0.08023876667881494
Twitter,Video,20,177977,16510,1574,656,0.10529450434606719
Twitter,Image,91,81870,6492,511,699,0.09407597410528887
Instagram,Text,64,89366,5706,1124,842,0.08584920439540765
Facebook,Text,80,126836,1517,300,79,0.014948437352171308
Twitter,Image,44,94814,3790,234,235,0.044919526652182164
Twitter,Video,71,86285,1309,213,95,0.01874022135944834
Twitter,Text,6,42185,1645,153,136,0.045845679743984825
Instagram,Image,106,69398,1083,201,122,0.020259949854462663
Instagram,Image,52,256326,6434,407,242,0.027632780131551227
Instagram,Text,56,101682,4775,875,283,0.05834857693593753
Instagram,Video,28,81593,4596,231,413,0.06422119544568775
Instagram,Text,97,162499,4800,615,463,0.03617253029249411
Facebook,Image,115,110518,8391,841,753,0.0903472737472629
Facebook,Text,114,58535,3695,421,283,0.07515161868967285
Instagram,Video,102,114626,8282,952,931,0.08867970617486434
Twitter,Image,88,116190,8824,1306,411,0.09072209312333247
Instagram,Video,86,199762,15066,805,855,0.08372963826954076
Facebook,Text,82,17060,1608,247,125,0.1160609613130129
Facebook,Text,86,184713,5790,308,639,0.03647279834121042
Twitter,Video,6,146679,5033,391,154,0.03802862032056395
Facebook,Text,69,234710,4336,611,151,0.021720420944995954
Instagram,Video,24,68560,4342,273,528,0.07501458576429405
Twitter,Text,38,197285,8989,1785,484,0.057064652659857565
